order_id,payload,A_feasible,A_score,A_truck_dist,A_uav_dist,A_energy,A_time,A_completion_time,A_reward,A_penalty,B_feasible,B_score,B_truck_dist,B_uav_dist,B_energy,B_time,B_completion_time,B_wait,B_reward,B_launch,B_recover,B_failure_reason,C_feasible,C_best_score,C_best_drone,C_launch,C_recover,C_completion_time,C_reward,C_failure_reason,best_local_mode
DYN-BENCH-01,1.4,True,34.1362030507582,2275.7468700505465,0.0,34.1362030507582,0.0,648.2240527303361,0.0,0.0,True,-922.1434752613869,3552.90097049241,1363.8385766410674,53.3414417850819,0.0,665.0278762184654,24.515082953531135,1000.0,STA-TEST-06,STA-TEST-10,,True,0.08427268721930048,UAV-TEST-09,DEP-TEST-01,STA-TEST-10,702.6243446800808,0.0,,B
DYN-BENCH-03,1.1,True,13.648896444865086,909.9264296576724,0.0,13.648896444865086,0.0,565.4470563428893,0.0,0.0,True,-931.9430336417813,663.9482064136212,861.3718887459826,9.9883719209195,0.0,573.6078796744883,58.06859443729914,1000.0,STA-TEST-02,STA-TEST-02,,True,0.09577231271983548,UAV-TEST-09,DEP-TEST-01,STA-TEST-02,755.7211473271448,0.0,,B
DYN-BENCH-04,2.2,True,36.097395394330455,2406.493026288697,0.0,36.097395394330455,0.0,656.148062199315,0.0,0.0,True,-753.6432925349113,5076.671471816509,1555.7710227505722,76.28843207510927,0.0,1029.278000433799,170.06827538997942,1000.0,STA-TEST-10,DEP-TEST-01,,False,,,,,0.0,0.0,drone_not_at_independent_node,B
DYN-BENCH-05,4.1,True,35.7379990818205,2382.5332721213667,0.0,35.7379990818205,0.0,654.6959558861435,0.0,0.0,True,-758.3548349061582,5206.3199589912865,1473.5955538135647,78.24481403736206,0.0,1081.2789989582373,163.4003510564798,1000.0,STA-TEST-07,STA-TEST-03,,False,,,,,0.0,0.0,drone_not_at_independent_node,B
DYN-BENCH-06,0.9,True,29.209217517896217,1947.281167859748,0.0,29.209217517896217,0.0,628.3170404763483,0.0,0.0,True,-915.7055027184728,1616.5650565011765,900.3197353527643,24.278510513889014,0.0,633.2896265555883,60.015986767638196,1000.0,STA-TEST-06,STA-TEST-06,,True,0.10830696771335234,UAV-TEST-09,DEP-TEST-01,STA-TEST-06,795.3995729392149,0.0,,B
DYN-BENCH-07,2.8,True,14.587834170077981,972.5222780051988,0.0,14.587834170077981,0.0,569.2407441215272,0.0,0.0,True,-740.0279676308521,2385.3838496132435,730.7961203576147,35.84875002247128,0.0,1028.4604892808902,224.12328234667666,1000.0,STA-TEST-08,STA-TEST-09,,False,,,,,0.0,0.0,drone_not_at_independent_node,B
DYN-BENCH-08,3.2,True,32.42433583241123,2161.6223888274153,0.0,32.42433583241123,0.0,641.3074175046918,0.0,0.0,True,-744.7440228399223,1980.2914182315274,404.2390555344637,29.74240208381759,0.0,1017.8701766790398,225.51357507626017,1000.0,STA-TEST-04,STA-TEST-04,,False,,,,,0.0,0.0,drone_not_at_independent_node,B
DYN-BENCH-09,1.7,True,45.80587135711011,3053.724757140674,0.0,45.80587135711011,0.0,695.3742277054954,0.0,0.0,True,-904.3126277368239,4876.5147800795785,1482.375253423993,73.19897780134613,0.0,713.9335580756156,22.488394461830012,1000.0,DEP-TEST-01,STA-TEST-10,,True,0.0432871094179955,UAV-TEST-09,DEP-TEST-01,DEP-TEST-01,591.3703216250148,0.0,,B
DYN-BENCH-10,4.5,True,38.53715481976528,2569.143654651018,0.0,38.53715481976528,0.0,666.0056760394557,0.0,0.0,True,-763.4022433785278,5650.567769600719,1526.210730893135,84.9056211959591,0.0,1051.4327168006039,151.69213542551307,1000.0,STA-TEST-07,STA-TEST-05,,False,,,,,0.0,0.0,drone_not_at_independent_node,B
ORD-STATIC-01,1.73,True,47.7655579448557,3184.3705296570465,0.0,47.7655579448557,0.0,703.2921533125483,0.0,0.0,True,-896.4605790479764,3552.90097049241,1877.0769318575126,53.362420237670186,0.0,712.0559155349553,50.177000714353426,1000.0,STA-TEST-06,STA-TEST-10,,True,0.10268620512363649,UAV-TEST-09,DEP-TEST-01,STA-TEST-10,739.4732555337637,0.0,,B
ORD-STATIC-02,16.03,True,15.629767905879335,1041.9845270586222,0.0,15.629767905879335,0.0,573.4505773974922,0.0,0.0,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,payload_exceed,False,,,,,0.0,0.0,drone_not_at_independent_node,A
