event_time,new_order_ids,completed_ids,locked_ids,pending_count,reoptimized_order_count,frozen_future_order_count,warm_start_count,population_size,max_generations,actual_generations,elapsed_seconds,time_budget_hit,early_stop_triggered,fallback_used,fallback_level,best_fitness,final_A_count,final_B_count,final_C_count,unserved_order_ids
1561.7,,,ORD-STATIC-06;ORD-STATIC-05,8,8,0,11,30,60,1,44.09376764297485,True,False,False,none,2231.6725151869505,6,2,0,
1562.7,,,ORD-STATIC-06;ORD-STATIC-05,8,8,0,10,30,60,1,35.69738268852234,True,False,False,none,3108.1144365995838,7,1,0,
1742.7,,,,10,8,2,12,30,60,0,56.99303126335144,True,False,False,none,4338.434934790932,9,1,0,
1741.7,,,,10,8,2,12,30,60,0,62.60922312736511,True,False,False,none,3801.6542210609373,8,2,0,
1740.7,,,,10,8,2,12,30,60,0,73.15660166740417,True,False,False,none,3612.495067622989,8,2,0,
1781.7,,,,10,8,2,12,30,60,0,32.02466559410095,True,False,False,none,11831.834865115185,9,0,1,
1838.7,,,,11,8,3,11,30,60,0,51.55927228927612,True,False,False,none,19882.12981419714,8,0,3,
1993.7,,,DYN-BENCH-03,11,8,3,11,30,60,1,43.85568165779114,True,False,False,none,18046.1222620696,11,0,0,
1956.7,,,DYN-BENCH-03,11,8,3,11,30,60,1,53.73190355300903,True,False,False,none,18113.11108184148,10,0,1,
120.2,,,,11,8,3,12,30,60,0,8.80343508720398,True,False,False,none,-633.9544519297851,5,6,0,
210.2,,,,9,8,1,12,30,60,0,7.48730731010437,True,False,False,none,5453.298671641761,6,3,0,
450.2,,,,10,8,2,12,30,60,0,11.0335693359375,True,False,False,none,5598.732872024294,10,0,0,
451.2,,,,10,8,2,12,30,60,1,24.695091485977173,True,False,False,none,5237.562767137544,9,1,0,
600.0,ORD-DYN-TEST-01,,,10,9,2,16,30,60,0,13.245945692062378,True,False,False,none,1568.2857600741515,7,3,1,
600.0,ORD-DYN-TEST-01,,,10,9,2,16,30,60,0,5.9130473136901855,True,False,False,none,1745.3490373131626,7,2,2,
600.0,ORD-DYN-TEST-01,,,10,9,2,16,30,60,0,5.288171052932739,True,False,False,none,1039.4707589676032,7,3,1,
120.4,,,,10,8,2,12,30,60,0,20.732903480529785,True,False,False,none,2882.26790939368,7,3,0,
210.4,,,,11,8,3,12,30,60,0,22.866085290908813,True,False,False,none,8541.51165357395,8,3,0,
450.4,,,,10,8,2,12,30,60,0,29.749273777008057,True,False,False,none,7344.620065976256,6,4,0,
570.4,,,,10,8,2,11,30,60,0,20.313396215438843,True,False,False,none,6940.812310936162,8,0,2,
870.4,,,,8,8,0,10,30,60,0,21.07188105583191,True,False,False,none,1309.096160831346,3,5,0,
