order_id,payload,A_feasible,A_score,A_truck_dist,A_uav_dist,A_energy,A_time,A_completion_time,A_reward,A_penalty,B_feasible,B_score,B_truck_dist,B_uav_dist,B_energy,B_time,B_completion_time,B_wait,B_reward,B_launch,B_recover,B_failure_reason,C_feasible,C_best_score,C_best_drone,C_launch,C_recover,C_completion_time,C_reward,C_failure_reason,best_local_mode
ORD-STATIC-01,1.73,True,37.579550394883974,2505.3033596589316,0.0,37.579550394883974,0.0,211.83656725205645,0.0,0.0,True,-927.2693141808177,2198.802150909197,2733.7629553396696,33.23562218389633,0.0,179.63391873015914,39.495063635286044,1000.0,DEP-TEST-01,STA-TEST-10,,True,0.1026862051236263,UAV-TEST-09,DEP-TEST-01,STA-TEST-10,239.4508780952387,0.0,,B
ORD-STATIC-02,16.03,True,43.82245567244869,2921.4970448299123,0.0,43.82245567244869,0.0,237.06042695938862,0.0,0.0,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,payload_exceed,False,,,,,0.0,0.0,payload_exceed,A
ORD-STATIC-03,4.12,True,58.06880776881887,3871.253851254591,0.0,58.06880776881887,0.0,294.62144553058124,0.0,0.0,True,-917.3751919013164,3608.1463681563396,3673.5489617308094,54.51094477300029,0.0,248.4276818004023,28.113863325683354,1000.0,DEP-TEST-01,STA-TEST-04,,True,0.38874925065520166,UAV-TEST-10,DEP-TEST-01,STA-TEST-04,238.4276818004023,0.0,,B
ORD-STATIC-04,1.6,True,46.474454014628044,3098.2969343085365,0.0,46.474454014628044,0.0,247.77557177627494,0.0,0.0,True,-940.1101237492675,3083.5200661066733,2754.5661593403966,46.511006275951814,0.0,196.48158495773217,13.378869974780699,1000.0,DEP-TEST-01,STA-TEST-06,,True,0.10483325697571726,UAV-TEST-09,DEP-TEST-01,STA-TEST-06,264.72237743659826,0.0,,B
ORD-STATIC-05,1.72,True,4.444821513326832,296.32143422178876,0.0,4.444821513326832,0.0,77.95887480132053,0.0,0.0,True,-968.911460011168,0.0,481.2724786280465,0.04612403456387542,0.0,56.042415954268215,31.042415954268215,1000.0,DEP-TEST-01,DEP-TEST-01,,True,0.017999244692641463,UAV-TEST-09,DEP-TEST-01,DEP-TEST-01,54.063623931402326,0.0,,B
ORD-STATIC-06,14.29,True,59.91362232632082,3994.241488421388,0.0,59.91362232632082,0.0,302.0752417225084,0.0,0.0,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,payload_exceed,False,,,,,0.0,0.0,payload_exceed,A
ORD-STATIC-07,10.09,True,60.621620859532435,4041.4413906354957,0.0,60.621620859532435,0.0,304.9358418566967,0.0,0.0,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,payload_exceed,False,,,,,0.0,0.0,payload_exceed,A
ORD-STATIC-08,12.94,True,43.61783031681449,2907.8553544542992,0.0,43.61783031681449,0.0,236.2336578457151,0.0,0.0,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,payload_exceed,False,,,,,0.0,0.0,payload_exceed,A
ORD-STATIC-09,4.77,True,49.6114767132708,3307.4317808847195,0.0,49.6114767132708,0.0,260.4504109627103,0.0,0.0,True,-935.775770740225,3608.1463681563396,3123.378745936224,54.44937312724446,0.0,201.21489152297528,9.774856132530502,1000.0,DEP-TEST-01,STA-TEST-04,,True,0.3201732085220079,UAV-TEST-10,DEP-TEST-01,STA-TEST-03,191.21489152297528,0.0,,B
ORD-STATIC-10,8.02,True,49.10862085686784,3273.9080571245227,0.0,49.10862085686784,0.0,258.41867012875895,0.0,0.0,True,-945.1965531288172,3608.1463681563396,2839.9569027307875,54.47598551216683,0.0,210.4363162546309,0.3274613590159703,1000.0,DEP-TEST-01,STA-TEST-04,,True,0.35378998982173115,UAV-TEST-10,DEP-TEST-01,STA-TEST-04,200.4363162546309,0.0,,B
