gen,best,avg,median,worst,feasible_count,hard_feasible_count,soft_penalty_count,A_count,B_count,C_count,individuals_with_B,individuals_with_C,individuals_all_A,b_success,b_infeasible,b_repaired,c_success,c_infeasible,c_repaired,best_A_count,best_B_count,best_C_count,truck_distance,uav_distance,energy,plan_completion_time,air_ground_reward,penalty,elapsed,avg_B_candidate_score,b_candidate_accepted_count,b_decoded_success_count,b_failure_reasons,b_gene_count_in_population,b_individual_count,best_B_candidate_score,c_candidate_accepted_count,c_decoded_success_count,c_failure_reasons,c_gene_count_in_population,closure_route_cost,delay_cost,early_stop_reason,early_stop_triggered,energy_cost,final_return_penalty,infeasible_penalty,last_improvement_gen,min_fitness,mutation_b_added,mutation_b_removed,no_improvement_count,orders_where_B_feasible,population_size,raw_truck_distance,raw_uav_distance,repair_penalty,residual_cost,seconds_per_generation,station_queue_penalty,time_cost,total_fitness,truck_distance_cost,uav_distance_cost,unserved_penalty,waiting_cost
10,5710.967466527466,190587.6279859269,208510.06321205842,507204.58283140825,1,1,79,1231,146,223,69,78,0,104,42,0,129,94,116,17,1,2,45567.45035184763,10166.982155003388,684.5316341498341,3950.8451074809996,1000.0,2001.0,479.5862874984741,-478.79686432197684,104,104,{'payload_exceed': 42},146,69,-949.6224423991057,129,129,"{'payload_exceed': 33, 'drone_not_at_independent_node': 61}",223,0.0,0.0,,False,684.5316341498341,0.0,0.0,7,5710.967466527466,515,111,3,"['DYN-BENCH-01', 'DYN-BENCH-03', 'DYN-BENCH-04', 'DYN-BENCH-05', 'DYN-BENCH-06', 'DYN-BENCH-07', 'DYN-BENCH-08', 'DYN-BENCH-09', 'DYN-BENCH-10', 'ORD-STATIC-01', 'ORD-STATIC-03', 'ORD-STATIC-04', 'ORD-STATIC-05', 'ORD-STATIC-09', 'ORD-STATIC-10']",80,45567.45035184763,10166.982155003388,2000.0,0.0,22.283434867858887,1.0,3950.8451074809996,5710.967466527466,0.0,0.0,0.0,74.59072489663254
11,5710.967466527466,169637.09805363143,133988.77905834283,511184.62897493824,0,0,80,1238,138,224,69,79,0,102,36,0,141,83,123,17,1,2,45567.45035184763,10166.982155003388,684.5316341498341,3950.8451074809996,1000.0,2001.0,502.269478559494,-517.2449675406618,102,102,{'payload_exceed': 36},138,69,-953.2321625472923,141,141,"{'payload_exceed': 29, 'drone_not_at_independent_node': 54}",224,0.0,0.0,,False,684.5316341498341,0.0,0.0,7,5710.967466527466,548,131,4,"['DYN-BENCH-01', 'DYN-BENCH-02', 'DYN-BENCH-03', 'DYN-BENCH-04', 'DYN-BENCH-05', 'DYN-BENCH-06', 'DYN-BENCH-07', 'DYN-BENCH-08', 'DYN-BENCH-09', 'DYN-BENCH-10', 'ORD-STATIC-01', 'ORD-STATIC-03', 'ORD-STATIC-04', 'ORD-STATIC-05', 'ORD-STATIC-10']",80,45567.45035184763,10166.982155003388,2000.0,0.0,22.67811393737793,1.0,3950.8451074809996,5710.967466527466,0.0,0.0,0.0,74.59072489663254
12,5710.967466527466,197828.87725445302,207295.19931788894,605467.1069853522,1,1,79,1220,149,231,69,76,0,107,42,0,132,99,114,17,1,2,45567.45035184763,10166.982155003388,684.5316341498341,3950.8451074809996,1000.0,2001.0,524.7805788516998,-401.14860889087197,107,107,{'payload_exceed': 42},149,69,-950.3841711806915,132,132,"{'drone_not_at_independent_node': 58, 'payload_exceed': 41}",231,0.0,0.0,,False,684.5316341498341,0.0,0.0,7,5710.967466527466,598,149,5,"['DYN-BENCH-01', 'DYN-BENCH-02', 'DYN-BENCH-03', 'DYN-BENCH-05', 'DYN-BENCH-06', 'DYN-BENCH-07', 'DYN-BENCH-09', 'ORD-STATIC-01', 'ORD-STATIC-03', 'ORD-STATIC-04', 'ORD-STATIC-05', 'ORD-STATIC-10']",80,45567.45035184763,10166.982155003388,2000.0,0.0,22.511128902435303,1.0,3950.8451074809996,5710.967466527466,0.0,0.0,0.0,74.59072489663254
13,5710.967466527466,186266.13750515913,206930.08379808522,503993.2322930458,1,1,79,1200,164,236,69,78,0,118,46,0,150,86,132,17,1,2,45567.45035184763,10166.982155003388,684.5316341498341,3950.8451074809996,1000.0,2001.0,548.5226511955261,-649.3043651563878,118,118,{'payload_exceed': 46},164,69,-950.3841711806915,150,150,"{'payload_exceed': 31, 'drone_not_at_independent_node': 55}",236,0.0,0.0,,False,684.5316341498341,0.0,0.0,7,5710.967466527466,651,162,6,"['DYN-BENCH-01', 'DYN-BENCH-03', 'DYN-BENCH-05', 'DYN-BENCH-06', 'DYN-BENCH-07', 'DYN-BENCH-08', 'DYN-BENCH-09', 'ORD-STATIC-01', 'ORD-STATIC-03', 'ORD-STATIC-04', 'ORD-STATIC-05', 'ORD-STATIC-09', 'ORD-STATIC-10']",80,45567.45035184763,10166.982155003388,2000.0,0.0,23.74712085723877,1.0,3950.8451074809996,5710.967466527466,0.0,0.0,0.0,74.59072489663254
14,5710.967466527466,194038.8243719127,210877.75577772752,512240.45514480793,3,3,77,1199,172,229,75,79,0,121,51,0,141,88,117,17,1,2,45567.45035184763,10166.982155003388,684.5316341498341,3950.8451074809996,1000.0,2001.0,572.1434650421143,-516.0165133496706,121,121,{'payload_exceed': 51},172,75,-950.3841711806915,141,141,"{'payload_exceed': 29, 'drone_not_at_independent_node': 59}",229,0.0,0.0,,False,684.5316341498341,0.0,0.0,7,5710.967466527466,714,180,7,"['DYN-BENCH-01', 'DYN-BENCH-02', 'DYN-BENCH-03', 'DYN-BENCH-05', 'DYN-BENCH-06', 'DYN-BENCH-07', 'DYN-BENCH-08', 'DYN-BENCH-09', 'ORD-STATIC-01', 'ORD-STATIC-03', 'ORD-STATIC-04', 'ORD-STATIC-05', 'ORD-STATIC-10']",80,45567.45035184763,10166.982155003388,2000.0,0.0,23.620813846588135,1.0,3950.8451074809996,5710.967466527466,0.0,0.0,0.0,74.59072489663254
15,5710.967466527466,193968.4146008267,207836.52991211944,518674.429189774,1,1,79,1198,171,231,74,79,0,113,58,0,150,81,123,17,1,2,45567.45035184763,10166.982155003388,684.5316341498341,3950.8451074809996,1000.0,2001.0,595.8655347824097,-543.5417235412067,113,113,{'payload_exceed': 58},171,74,-950.3841711806915,150,150,"{'drone_not_at_independent_node': 53, 'payload_exceed': 28}",231,0.0,0.0,,False,684.5316341498341,0.0,0.0,7,5710.967466527466,768,191,8,"['DYN-BENCH-01', 'DYN-BENCH-02', 'DYN-BENCH-03', 'DYN-BENCH-04', 'DYN-BENCH-05', 'DYN-BENCH-06', 'DYN-BENCH-07', 'DYN-BENCH-08', 'DYN-BENCH-09', 'ORD-STATIC-01', 'ORD-STATIC-03', 'ORD-STATIC-04', 'ORD-STATIC-05', 'ORD-STATIC-10']",80,45567.45035184763,10166.982155003388,2000.0,0.0,23.72206974029541,1.0,3950.8451074809996,5710.967466527466,0.0,0.0,0.0,74.59072489663254
16,5710.967466527466,182414.7568175926,134440.6882733918,705104.7355371931,1,1,79,1217,147,236,68,79,0,96,51,0,158,78,134,17,1,2,45567.45035184763,10166.982155003388,684.5316341498341,3950.8451074809996,1000.0,2001.0,619.7110862731934,-787.5637359114328,96,96,{'payload_exceed': 51},147,68,-927.1510188644669,158,158,"{'drone_not_at_independent_node': 51, 'payload_exceed': 27}",236,0.0,0.0,,False,684.5316341498341,0.0,0.0,7,5710.967466527466,828,197,9,"['DYN-BENCH-01', 'DYN-BENCH-02', 'DYN-BENCH-03', 'DYN-BENCH-05', 'DYN-BENCH-06', 'DYN-BENCH-07', 'DYN-BENCH-08', 'DYN-BENCH-09', 'DYN-BENCH-10', 'ORD-STATIC-01', 'ORD-STATIC-03', 'ORD-STATIC-04', 'ORD-STATIC-05', 'ORD-STATIC-10']",80,45567.45035184763,10166.982155003388,2000.0,0.0,23.84229278564453,1.0,3950.8451074809996,5710.967466527466,0.0,0.0,0.0,74.59072489663254
17,4682.442871077924,170314.6486849676,133287.08614317622,607125.4580617725,1,1,79,1236,124,240,67,78,1,85,39,0,158,82,136,17,0,3,35190.822410245564,10743.243493794234,528.6657553054658,3152.7771157724583,0.0,1001.0,644.9208652973175,-369.34390738857405,85,85,{'payload_exceed': 39},124,67,-919.37520791198,158,158,"{'drone_not_at_independent_node': 54, 'payload_exceed': 28}",240,0.0,0.0,,False,528.6657553054658,0.0,0.0,17,4682.442871077924,883,210,0,"['DYN-BENCH-01', 'DYN-BENCH-02', 'DYN-BENCH-03', 'DYN-BENCH-04', 'DYN-BENCH-06', 'DYN-BENCH-07', 'DYN-BENCH-08', 'DYN-BENCH-09', 'ORD-STATIC-01', 'ORD-STATIC-03', 'ORD-STATIC-04', 'ORD-STATIC-05', 'ORD-STATIC-09', 'ORD-STATIC-10']",80,35190.822410245564,10743.243493794234,1000.0,0.0,25.207762718200684,1.0,3152.7771157724583,4682.442871077924,0.0,0.0,0.0,0.0
18,4682.442871077924,187807.0616498362,204632.68076903268,703754.1187480141,0,0,80,1199,162,239,74,80,0,109,53,0,157,82,138,17,0,3,35190.822410245564,10743.243493794234,528.6657553054658,3152.7771157724583,0.0,1001.0,667.0924634933472,-763.6180382068102,109,109,{'payload_exceed': 53},162,74,-919.3752079119802,157,157,"{'payload_exceed': 26, 'drone_not_at_independent_node': 56}",239,0.0,0.0,,False,528.6657553054658,0.0,0.0,17,4682.442871077924,947,222,1,"['DYN-BENCH-01', 'DYN-BENCH-03', 'DYN-BENCH-06', 'DYN-BENCH-07', 'DYN-BENCH-08', 'DYN-BENCH-09', 'ORD-STATIC-01', 'ORD-STATIC-03', 'ORD-STATIC-04', 'ORD-STATIC-05', 'ORD-STATIC-09', 'ORD-STATIC-10']",80,35190.822410245564,10743.243493794234,1000.0,0.0,22.176873207092285,1.0,3152.7771157724583,4682.442871077924,0.0,0.0,0.0,0.0
19,4682.442871077924,191220.47857762343,205475.39270490716,704195.9116738589,1,1,79,1194,154,252,74,76,0,100,54,0,168,84,142,17,0,3,35190.822410245564,10743.243493794234,528.6657553054658,3152.7771157724583,0.0,1001.0,706.3837344646454,-665.1078797539454,100,100,{'payload_exceed': 54},154,74,-918.9821720730149,168,168,"{'drone_not_at_independent_node': 50, 'payload_exceed': 34}",252,0.0,0.0,,False,528.6657553054658,0.0,0.0,17,4682.442871077924,1003,232,2,"['DYN-BENCH-01', 'DYN-BENCH-03', 'DYN-BENCH-09', 'ORD-STATIC-01', 'ORD-STATIC-04', 'ORD-STATIC-05', 'ORD-STATIC-09', 'ORD-STATIC-10']",80,35190.822410245564,10743.243493794234,1000.0,0.0,39.28818202018738,1.0,3152.7771157724583,4682.442871077924,0.0,0.0,0.0,0.0
